grade,gender,transgender,sexual_orientation,religion,ethnicity,physical_disability,learning_disability,parent_guardian,guardian_degree,language_at_home_number,book_in_home_number,book_read_number,computer_at_home_number,district,gpa,dei_01,dei_02,dei_03,dei_04,dei_fair_to_boys,"G_School Climate for Diversity, Equity, and Inclusion			",dei_05,dei_06,dei_07,dei_10,"G_School Climate Overall			",dei_11,dei_12,dei_13,dei_16,dei_17,dei_18,dei_21,dei_75,"G_Classroom Teaching Supporting Diversity, Equity, and Inclusion						",dei_24,dei_25,dei_26,"G_Co-curricular Activities Supporting Diversity, Equity, and Inclusion		",dei_27,dei_28,dei_29,"G_School Commitment to Diversity, Equity, and Inclusion",dei_30,dei_31,dei_32,dei_35,dei_36,dei_37,"G_Everyday Discrimination by Students					",dei_48,dei_49,dei_50,dei_53,dei_54,dei_55,"G_Everyday Discrimination by Teachers					",dei_72,dei_73,dei_74,dei_76,"G_Outcomes					",dei_80,dei_81,dei_82,dei_83,dei_84,"G_Meaningful Interactions Across Difference				"
10,Female,No,I don't know,Christian,Black or African American,No,No,Parents,Attended some college or earned a 2-year degree,1,25-99,,"Yes, two",2,1,2,,1,2,,1.666666667,3,3,3,3,3.00 ,3,2,1,2,3,3,2,1,2.00 ,3,4,0,2.333333333,3,2,2,2.333333333,3,4,4,3,2,3,3.166666667,3,3,3,3,3,2,2.833333333,2,3,3,2.50 ,2.63 ,3,3,4,4,,3.5
11,Female,No,Heterosexual,Christian,"Some other race, ethnicity, or origin",No,No,Parents,Finished high school,2,25-99,,"Yes, three or more",2,1,4,,3,5,,4,5,4,5,5,4.75 ,5,2,2,2,1,3,4,1,2.14 ,3,0,3,2,3,2,4,3,2,1,1,1,1,1,1.166666667,3,2,2,1,1,1,1.666666667,3,4,5,3.00 ,3.75 ,3,5,5,5,,4.5
6,Male,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,2,5,,5,5,,5,5,5,5,5,5.00 ,5,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,5.00 ,5.00 ,,,,,,
11,Female,No,Heterosexual,Jewish,White,No,No,Single Parent,Finished a professional or graduate degree after college,1,11-24,,"Yes, three or more",2,1,4,,1,4,,3,3,2,4,4,3.25 ,5,2,2,2,2,2,2,2,2.00 ,1,1,1,1,3,2,3,2.666666667,2,2,2,2,2,2,2,3,3,2,2,2,1,2.166666667,2,3,3,3.50 ,2.88 ,4,4,4,4,,4
7,Male,No,Heterosexual,Jewish,White,No,,Parents,Finished a 4-year college degree,1,11-24,,"Yes, three or more",2,2,4,,4,5,,4.333333333,4,3,4,4,3.75 ,3,2,2,2,2,2,1,2,1.86 ,0,1,0,0.333333333,3,3,4,3.333333333,2,2,3,2,2,3,2.333333333,3,3,3,3,2,1,2.5,4,5,4,3.50 ,4.13 ,4,4,4,3,,3.75
11,Male,No,Heterosexual,Atheist,Asian,No,No,Parents,Finished a professional or graduate degree after college,2,100-250,,"Yes, three or more",2,1,5,,5,5,,5,5,5,5,5,5.00 ,5,2,3,2,3,3,4,3,2.86 ,4,5,4,4.333333333,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1.333333333,1,1,1,4.50 ,1.88 ,5,5,5,5,,5
10,Male,Yes,Heterosexual,Agnostic,Black or African American,No,No,Parents,Finished a professional or graduate degree after college,2,100-250,,"Yes, three or more",2,1,2,,1,,,1.5,3,3,5,4,3.75 ,1,2,1,1,1,2,2,1,1.43 ,3,4,0,2.333333333,3,2,2,2.333333333,2,2,4,3,1,3,2.5,4,3,2,4,1,1,2.5,3,3,3,3.00 ,3.00 ,3,2,5,5,,3.75
12,Male,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,1,5,,2,5,,4,,4,5,5,4.67 ,5,2,1,2,2,2,2,2,1.86 ,4,4,4,4,4,4,2,3.333333333,2,3,1,2,2,2,2,2,2,1,2,1,1,1.5,5,5,5,4.50 ,4.88 ,5,5,5,5,,5
12,Nonbinary or another gender,No,Gay/Lesbian/Queer,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,2,2,,2,3,,2.333333333,3,2,5,3,3.25 ,3,3,2,2,2,2,2,3,2.29 ,4,5,4,4.333333333,2,1,3,2,4,4,1,4,3,3,3.166666667,2,2,1,2,1,1,1.5,3,3,1,3.50 ,2.63 ,5,5,5,5,,5
6,Male,No,Heterosexual,None,Asian,No,No,Parents,Finished a 4-year college degree,1,100-250,,"Yes, three or more",2,1,5,,5,5,,5,5,5,5,5,5.00 ,5,5,5,5,5,5,5,5,5.00 ,1,1,3,1.666666667,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,4,4,4,5,,4.25
11,Male,No,Heterosexual,Atheist,White,No,Yes,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,2,5,,4,4,,4.333333333,4,3,5,3,3.75 ,4,2,2,2,2,2,2,1,1.86 ,0,0,0,0,4,4,3,3.666666667,1,1,1,1,2,1,1.166666667,1,1,1,1,1,1,1,3,4,3,2.50 ,3.13 ,1,1,1,1,,1
8,Male,No,Heterosexual,None,Black or African American,No,No,Parents,I don't know,2,25-99,,"Yes, three or more",2,4,3,,2,2,,2.333333333,2,3,4,5,3.50 ,5,4,4,2,4,5,3,3,3.57 ,3,4,1,2.666666667,3,2,2,2.333333333,3,3,4,3,1,2,2.666666667,2,3,2,1,1,1,1.666666667,3,4,3,3.50 ,3.38 ,4,3,3,5,,3.75
11,Male,No,Heterosexual,Atheist,Asian,No,No,Parents,Finished a professional or graduate degree after college,2,100-250,,"Yes, three or more",2,1,4,,4,3,,3.666666667,4,4,5,5,4.50 ,4,3,4,5,2,5,4,3,3.71 ,4,3,3,3.333333333,4,4,5,4.333333333,1,2,1,2,1,2,1.5,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,5,4,5,4,,4.5
11,Female,No,,Atheist,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,1,3,,2,3,,2.666666667,4,3,4,4,3.75 ,3,3,2,2,2,2,2,3,2.29 ,3,3,3,3,3,3,4,3.333333333,3,3,2,2,1,2,2.166666667,2,2,2,2,1,1,1.666666667,3,4,4,3.00 ,3.50 ,3,3,4,4,,3.5
10,Female,No,Heterosexual,Christian,"Some other race, ethnicity, or origin",No,Yes,Single Parent,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,3,4,,2,4,,3.333333333,4,4,5,5,4.50 ,3,2,2,4,4,4,4,4,3.43 ,3,3,4,3.333333333,5,4,4,4.333333333,2,2,1,4,2,2,2.166666667,3,3,3,2,1,1,2.166666667,4,4,4,3.50 ,3.88 ,4,5,4,4,,4.25
11,Female,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,1,4,,4,5,,4.333333333,4,4,5,5,4.50 ,5,4,4,4,4,4,4,4,4.00 ,1,1,1,1,4,4,5,4.333333333,3,2,2,2,2,2,2.166666667,2,2,2,2,2,2,2,4,5,5,5.00 ,4.75 ,4,4,4,4,,4
11,Female,No,Heterosexual,None,Asian,No,No,Other Adult,I don't know,1,25-99,,"Yes, three or more",2,4,4,,4,5,,4.333333333,5,5,5,4,4.75 ,4,4,4,4,4,4,4,4,4.00 ,4,4,4,4,4,4,4,4,,,,,,,,1,1,1,1,1,1,1,5,4,4,3.50 ,4.13 ,3,3,2,2,,2.5
10,Female,No,Heterosexual,Christian,Asian,No,No,Parents,Finished a professional or graduate degree after college,2,100-250,,"Yes, one",2,3,2,,2,3,,2.333333333,4,4,5,5,4.50 ,2,1,3,2,1,5,4,3,2.71 ,4,3,3,3.333333333,2,2,3,2.333333333,2,2,1,1,1,1,1.333333333,3,1,2,1,1,1,1.5,2,2,2,3.00 ,2.25 ,3,2,3,3,,2.75
9,Male,No,Heterosexual,None,Asian,No,No,Parents,I don't know,2,More than 250,,"Yes, three or more",2,1,5,,5,5,,5,5,5,5,5,5.00 ,5,3,4,4,4,4,4,4,3.86 ,3,3,3,3,4,4,4,4,,2,5,2,1,1,2.2,2,2,2,1,1,1,1.5,5,5,5,5.00 ,5.00 ,5,5,5,5,,5
12,Male,No,Heterosexual,Muslim,White,No,No,Parents,Finished a professional or graduate degree after college,2,100-250,,"Yes, two",2,2,4,,5,5,,4.666666667,5,5,5,5,5.00 ,5,4,2,2,2,2,2,3,2.43 ,3,1,0,1.333333333,5,5,5,5,4,4,3,4,4,4,3.833333333,1,1,3,1,1,1,1.333333333,5,4,5,4.00 ,4.50 ,4,5,5,5,,4.75
11,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Single Parent,Attended some college or earned a 2-year degree,1,25-99,,"Yes, three or more",2,1,5,,5,5,,5,5,5,5,5,5.00 ,5,5,5,3,4,5,4,3,4.14 ,4,3,1,2.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.00 ,2.00 ,4,4,4,4,,4
7,Female,No,I don't know,Christian,White,No,No,Parents,Attended some college or earned a 2-year degree,1,100-250,,"Yes, three or more",2,3,4,,4,5,,4.333333333,5,4,5,4,4.50 ,4,4,3,2,3,4,4,3,3.29 ,1,0,3,1.333333333,2,3,5,3.333333333,4,4,3,4,4,4,3.833333333,2,2,1,1,1,1,1.333333333,5,3,4,5.00 ,4.25 ,3,5,5,5,,4.5
8,Female,No,Heterosexual,None,White,No,No,Parents,Finished a professional or graduate degree after college,2,25-99,,"Yes, three or more",2,1,4,,1,3,,2.666666667,4,4,5,4,4.25 ,5,5,5,5,2,2,3,2,3.43 ,5,5,3,4.333333333,4,3,4,3.666666667,2,2,1,2,2,3,2,2,3,1,1,2,1,1.666666667,3,4,3,4.00 ,3.50 ,5,5,5,5,,5
10,Male,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,2,3,,4,2,,3,4,4,4,4,4.00 ,4,3,5,3,3,3,2,2,3.00 ,4,0,0,1.333333333,4,4,4,4,3,3,1,4,2,3,2.666666667,2,2,1,1,1,1,1.333333333,5,4,3,4.00 ,4.00 ,4,4,5,5,,4.5
6,Male,,,Jewish,White,No,No,Parents,Finished a 4-year college degree,1,25-99,,"Yes, two",2,3,5,,5,5,,5,5,5,5,5,5.00 ,5,,,4,,,,,4.00 ,3,3,1,2.333333333,5,4,5,4.666666667,,,1,2,1,1,1.25,,,1,1,1,1,1,5,5,5,5.00 ,5.00 ,4,5,4,5,,4.5
9,Female,No,Heterosexual,Buddhist,Asian,No,No,,I don't know,2,100-250,,"Yes, three or more",2,1,5,,5,5,,5,5,5,5,5,5.00 ,5,5,5,5,5,3,3,2,4.00 ,,,,,1,1,1,1,2,1,1,,1,2,1.4,1,1,1,,1,1,1,1,1,2,4.50 ,2.13 ,3,3,1,,,2.333333333
6,Female,No,Heterosexual,Christian,Asian,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,1,5,,5,5,,5,5,5,5,5,5.00 ,5,4,5,5,4,5,5,5,4.71 ,,0,0,0,4,5,5,4.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,1,1,1,1,,1
11,Female,No,Heterosexual,Agnostic,Asian,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,2,4,,1,4,,3,3,4,4,4,3.75 ,3,2,2,3,2,4,3,3,2.71 ,0,0,1,0.333333333,3,3,2,2.666666667,2,2,2,2,1,1,1.666666667,2,2,2,2,1,1,1.666666667,3,4,2,2.00 ,2.75 ,2,1,2,2,,1.75
8,Male,No,Heterosexual,Other,"Hispanic, Latino, or Spanish",No,No,Stepparent,Attended some college or earned a 2-year degree,2,More than 250,,"Yes, three or more",2,2,3,,5,4,,4,4,4,5,4,4.25 ,4,5,5,2,2,4,3,,3.50 ,0,0,0,0,3,3,2,2.666666667,3,2,2,2,2,2,2.166666667,1,1,2,1,1,1,1.166666667,3,4,4,4.50 ,3.88 ,4,5,4,4,,4.25
8,Female,No,Bisexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,1,5,,4,5,,4.666666667,5,5,5,5,5.00 ,5,2,4,4,2,2,2,2,2.57 ,4,3,3,3.333333333,5,5,5,5,2,1,1,2,1,1,1.333333333,2,1,1,1,1,1,1.166666667,5,5,5,4.50 ,4.88 ,5,5,5,5,,5
6,Female,No,,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,1,5,,4,4,,4.333333333,5,5,5,5,5.00 ,5,,5,3,2,2,4,2,3.00 ,0,0,0,0,5,5,5,5,3,2,2,3,1,1,2,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,2,4,5,5,,4
9,Female,No,Heterosexual,Christian,White,No,No,Parents,Finished a 4-year college degree,1,More than 250,,"Yes, three or more",2,2,5,,4,5,,4.666666667,5,5,5,5,5.00 ,,3,3,2,2,2,2,2,2.29 ,4,1,4,3,5,5,4,4.666666667,1,1,2,3,2,1,1.666666667,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,,,,,,
11,Female,No,Heterosexual,Other,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,1,4,,3,4,,3.666666667,4,3,4,4,3.75 ,4,4,5,4,4,4,5,4,4.29 ,5,4,5,4.666666667,3,3,3,3,3,3,2,3,1,2,2.333333333,2,2,1,1,1,1,1.333333333,5,4,5,5.00 ,4.75 ,5,5,5,5,,5
10,Female,No,Heterosexual,None,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,1,4,,5,5,,4.666666667,5,4,5,5,4.75 ,5,2,2,3,3,3,3,3,2.71 ,4,5,5,4.666666667,4,5,5,4.666666667,2,2,1,3,1,1,1.666666667,1,1,1,2,1,1,1.166666667,5,5,5,5.00 ,5.00 ,5,5,5,5,,5
9,Female,No,Heterosexual,None,Black or African American,No,No,Stepparent,Finished a 4-year college degree,1,0-10,,"Yes, one",2,4,1,,3,3,,2.333333333,3,2,2,3,2.50 ,4,1,1,1,1,1,2,2,1.29 ,1,1,1,1,,,,,1,4,1,1,1,1,1.5,4,1,2,1,1,2,1.833333333,,,,3.50 ,3.50 ,,,,,,
8,Female,No,Heterosexual,None,Black or African American,No,No,Single Parent,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,1,3,,2,5,,3.333333333,4,5,4,5,4.50 ,3,5,4,4,4,4,4,5,4.29 ,4,5,0,3,3,5,5,4.333333333,3,2,1,5,3,4,3,1,2,2,1,1,1,1.333333333,4,3,4,4.50 ,3.88 ,4,5,4,3,,4
12,Male,No,Heterosexual,Christian,White,No,No,Parents,Finished a 4-year college degree,1,25-99,,"Yes, three or more",2,2,5,,4,5,,4.666666667,5,5,5,5,5.00 ,5,3,4,2,2,4,2,3,2.86 ,3,3,0,2,4,3,3,3.333333333,2,2,1,2,1,2,1.666666667,1,1,1,1,1,1,1,4,4,5,5.00 ,4.50 ,4,4,4,5,,4.25
12,Female,No,Heterosexual,None,White,No,Yes,Stepparent,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,1,5,,5,3,,4.333333333,4,5,5,4,4.50 ,5,2,3,2,2,2,3,2,2.29 ,4,4,1,3,3,3,3,3,2,3,2,3,2,2,2.333333333,2,2,2,3,1,1,1.833333333,4,4,2,2.00 ,3.00 ,4,4,4,4,,4
9,Female,No,Heterosexual,Other,"Some other race, ethnicity, or origin",No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,3,5,,3,5,,4.333333333,4,3,4,4,3.75 ,5,2,3,3,2,4,4,2,2.86 ,1,0,0,0.333333333,5,4,5,4.666666667,2,2,2,2,3,2,2.166666667,1,1,1,1,1,1,1,4,4,4,4.00 ,4.00 ,4,4,4,4,,4
7,Male,No,Heterosexual,Christian,White,No,Yes,Stepparent,I don't know,1,0-10,,"Yes, three or more",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Female,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,1,4,,1,5,,3.333333333,3,4,5,5,4.25 ,4,2,2,1,2,2,2,1,1.71 ,1,0,0,0.333333333,2,,3,2.5,3,3,3,5,4,5,3.833333333,3,3,1,2,2,2,2.166666667,3,4,2,1.50 ,2.63 ,4,5,5,5,,4.75
9,Male,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,1,5,,5,4,,4.666666667,5,5,5,4,4.75 ,5,2,2,2,2,3,4,2,2.43 ,3,0,0,1,4,3,4,3.666666667,2,3,3,4,2,1,2.5,2,1,2,1,1,1,1.333333333,4,4,4,4.00 ,4.00 ,4,5,5,5,,4.75
10,Male,No,Heterosexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,2,5,,4,5,,4.666666667,3,4,5,5,4.25 ,5,4,3,2,4,4,3,2,3.14 ,0,0,0,0,4,4,3,3.666666667,2,1,2,2,1,1,1.5,1,1,3,2,1,1,1.5,3,4,3,4.00 ,3.50 ,3,5,5,4,,4.25
9,Female,No,Heterosexual,Other,Black or African American,No,No,Parents,I don't know,2,11-24,,"Yes, three or more",2,1,5,,5,5,,5,5,5,,5,5.00 ,5,,,,,,,,,,,,,5,5,3,4.333333333,,,,,,,,,,,,,,,5,5,4,5.00 ,4.75 ,,,,,,
7,Male,No,,Christian,White,No,No,Parents,Finished a 4-year college degree,1,100-250,,"Yes, one",2,3,5,,5,5,,5,5,5,5,5,5.00 ,5,4,4,4,4,5,4,4,4.14 ,4,3,4,3.666666667,5,5,5,5,2,2,2,2,1,2,1.833333333,1,1,1,1,1,1,1,5,5,5,4.50 ,4.88 ,4,4,5,5,,4.5
11,Male,No,Heterosexual,Jewish,White,No,No,Parents,Finished a 4-year college degree,2,More than 250,,"Yes, three or more",2,1,5,,5,5,,5,4,4,5,4,4.25 ,5,5,4,4,4,5,5,4,4.43 ,4,3,3,3.333333333,4,4,4,4,3,3,2,3,3,3,2.833333333,1,1,1,1,1,1,1,4,4,5,5.00 ,4.50 ,5,5,5,5,,5
10,Female,No,I don't know,None,Asian,No,No,Other Adult,Finished a professional or graduate degree after college,2,100-250,,"Yes, three or more",2,2,4,,4,3,,3.666666667,3,4,3,3,3.25 ,4,3,2,4,4,4,3,3,3.29 ,4,3,4,3.666666667,2,3,,2.5,2,2,1,2,1,1,1.5,2,2,,2,1,1,1.6,3,2,3,1.50 ,2.38 ,5,4,4,4,,4.25
7,Male,No,Heterosexual,Jewish,White,No,No,Parents,I don't know,1,11-24,,"Yes, three or more",2,2,5,,5,5,,5,4,5,5,5,4.75 ,5,4,2,4,4,4,3,4,3.57 ,3,0,0,1,4,4,5,4.333333333,3,2,3,2,2,2,2.333333333,3,2,2,2,1,1,1.833333333,4,4,5,5.00 ,4.50 ,4,4,4,5,,4.25
12,Female,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,2,4,,3,4,,3.666666667,4,4,4,4,4.00 ,4,2,2,2,2,3,3,2,2.29 ,4,3,1,2.666666667,4,4,4,4,3,3,2,4,2,2,2.666666667,3,3,2,2,2,2,2.333333333,4,4,4,4.00 ,4.00 ,5,5,5,5,,5
6,Female,No,Heterosexual,None,"Middle Eastern, North African, or Arab",No,No,Parents,Finished a professional or graduate degree after college,2,25-99,,"Yes, three or more",2,2,5,,5,5,,5,5,5,5,5,5.00 ,5,4,5,5,5,4,4,5,4.57 ,0,0,3,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,4,4,4,4,,4
10,Female,No,Heterosexual,Christian,Black or African American,No,No,Parents,Finished a 4-year college degree,1,100-250,,"Yes, three or more",2,3,5,,5,5,,5,5,5,4,5,4.75 ,5,1,1,4,2,2,1,2,1.86 ,3,0,0,1,3,3,4,3.333333333,1,1,1,1,2,1,1.166666667,1,1,1,1,1,1,1,5,5,3,2.50 ,3.88 ,1,1,1,1,,1
10,Male,No,Heterosexual,None,Asian,No,No,Other Adult,Finished a professional or graduate degree after college,1,More than 250,,"Yes, three or more",2,1,4,,5,5,,4.666666667,4,4,5,5,4.50 ,5,3,4,4,4,4,4,4,3.86 ,3,0,0,1,4,4,4,4,1,1,1,2,3,3,1.833333333,1,1,1,1,1,1,1,4,4,5,4.00 ,4.25 ,4,4,5,4,,4.25
12,Female,No,Heterosexual,Christian,White,No,No,Single Parent,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,1,5,,4,4,,4.333333333,5,5,5,4,4.75 ,4,5,3,3,2,4,2,3,3.14 ,4,3,5,4,4,3,2,3,3,2,2,4,1,2,2.333333333,2,2,3,1,2,1,1.833333333,4,4,3,4.50 ,3.88 ,3,4,4,5,,4
10,Male,No,Heterosexual,None,White,No,,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,4,,,3,,,3,,4,4,5,4.33 ,4,4,2,2,2,2,3,4,2.71 ,4,0,0,1.333333333,5,4,4,4.333333333,,,1,3,2,1,1.75,,,2,3,1,1,1.75,5,5,5,4.00 ,4.75 ,4,5,5,5,,4.75
11,Female,No,Heterosexual,Christian,White,No,Yes,Parents,Finished a professional or graduate degree after college,2,25-99,,"Yes, three or more",2,3,4,,5,5,,4.666666667,5,5,5,4,4.75 ,5,4,5,5,3,5,2,5,4.14 ,0,0,0,0,5,5,5,5,3,1,3,3,1,3,2.333333333,1,1,1,1,1,1,1,5,5,5,4.50 ,4.88 ,5,5,5,5,,5
9,Male,No,Heterosexual,Jewish,White,No,No,Parents,Finished high school,1,100-250,,"Yes, three or more",2,4,5,,1,3,,3,5,3,5,5,4.50 ,5,5,5,3,,1,1,1,2.67 ,4,4,0,2.666666667,3,3,3,3,2,2,3,3,2,3,2.5,1,1,1,2,1,1,1.166666667,5,3,2,2.00 ,3.00 ,2,4,5,4,,3.75
9,Female,No,I don't know,None,Asian,No,No,Parents,Finished a 4-year college degree,2,25-99,,"Yes, three or more",2,3,5,,4,5,,4.666666667,5,4,4,5,4.50 ,5,,,,,,,,,,,,,,,,,2,1,,1,1,,1.25,2,,1,,,1,1.333333333,,,,5.00 ,5.00 ,,,,,,
10,Male,No,Heterosexual,Christian,White,No,No,Parents,I don't know,1,100-250,,"Yes, three or more",2,3,5,,5,5,,5,5,5,4,5,4.75 ,5,4,4,4,4,4,4,4,4.00 ,3,4,0,2.333333333,3,3,4,3.333333333,1,2,2,1,1,1,1.333333333,2,1,2,1,1,1,1.333333333,4,3,5,5.00 ,4.25 ,5,5,5,5,,5
10,Male,No,Heterosexual,Christian,"Middle Eastern, North African, or Arab",No,No,Parents,Finished a professional or graduate degree after college,2,25-99,,"Yes, three or more",2,1,4,,2,3,,3,4,4,5,4,4.25 ,4,4,3,2,2,3,2,2,2.57 ,3,3,3,3,4,4,4,4,3,3,2,3,3,3,2.833333333,3,3,2,3,3,3,2.833333333,3,4,4,4.00 ,3.75 ,4,5,5,5,,4.75
9,Male,No,Bisexual,None,White,No,No,Parents,I don't know,1,More than 250,,"Yes, three or more",2,3,5,,3,5,,4.333333333,4,4,3,3,3.50 ,5,4,3,2,2,2,1,2,2.29 ,4,3,1,2.666666667,4,3,4,3.666666667,2,2,2,1,1,1,1.5,4,4,3,4,1,1,2.833333333,3,3,2,2.50 ,2.63 ,4,5,5,5,,4.75
9,Female,No,Heterosexual,Christian,White,No,No,Parents,I don't know,2,25-99,,"Yes, three or more",2,5,5,,5,5,,5,4,4,5,5,4.50 ,5,2,2,2,1,2,1,2,1.71 ,4,0,0,1.333333333,4,4,4,4,,3,3,3,1,3,2.6,,3,3,3,1,3,2.6,4,4,4,1.50 ,3.38 ,5,5,5,5,,5
8,Female,No,Bisexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,2,100-250,,"Yes, three or more",2,1,4,,1,5,,3.333333333,3,3,2,2,2.50 ,5,2,2,4,2,2,2,3,2.43 ,4,3,3,3.333333333,3,2,3,2.666666667,3,3,2,5,5,4,3.666666667,1,1,1,1,1,1,1,2,3,1,1.00 ,1.75 ,4,5,3,4,,4
7,Female,No,I don't know,Christian,Black or African American,No,Yes,Parents,Finished a 4-year college degree,1,11-24,,"Yes, three or more",2,3,1,,5,5,,3.666666667,3,2,2,4,2.75 ,4,1,5,1,1,1,1,1,1.57 ,4,0,0,1.333333333,3,1,1,1.666666667,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1.50 ,1.63 ,4,4,4,5,,4.25
8,Male,No,,,White,,,Parents,I don't know,1,100-250,,"Yes, three or more",2,,5,,3,5,,4.333333333,4,5,3,4,4.00 ,5,4,4,3,2,4,3,4,3.43 ,3,0,1,1.333333333,5,4,5,4.666666667,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,5,4,4.00 ,4.25 ,5,5,3,5,,4.5
9,Male,No,Heterosexual,Christian,Black or African American,No,No,Parents,Finished a professional or graduate degree after college,1,25-99,,"Yes, three or more",2,1,3,,2,3,,2.666666667,5,4,5,4,4.50 ,3,3,4,3,2,2,2,2,2.57 ,0,0,0,0,4,4,4,4,2,2,2,2,1,1,1.666666667,2,2,2,2,1,1,1.666666667,4,4,4,4.50 ,4.13 ,4,4,4,4,,4
10,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Finished a 4-year college degree,1,25-99,,"Yes, three or more",2,1,4,,2,5,,3.666666667,3,4,4,4,3.75 ,3,3,2,3,2,4,2,2,2.57 ,4,3,4,3.666666667,4,3,4,3.666666667,2,2,3,3,2,2,2.333333333,1,1,2,1,1,1,1.166666667,3,5,4,4.00 ,4.00 ,5,4,5,5,,4.75
12,Male,No,Heterosexual,Buddhist,Asian,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,1,3,,3,5,,3.666666667,4,4,5,5,4.50 ,4,5,4,4,2,3,2,5,3.57 ,3,3,4,3.333333333,3,3,2,2.666666667,2,3,4,4,2,4,3.166666667,2,1,2,2,1,1,1.5,4,5,4,3.50 ,4.13 ,2,3,4,5,,3.5
10,Male,No,Heterosexual,Jewish,White,No,No,Parents,Finished a professional or graduate degree after college,2,100-250,,"Yes, one",2,2,3,,2,5,,3.333333333,4,4,4,3,3.75 ,3,3,3,2,2,2,3,2,2.43 ,1,3,3,2.333333333,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3.50 ,3.63 ,4,4,4,4,,4
11,Female,No,Heterosexual,Christian,White,No,No,Parents,Finished a professional or graduate degree after college,1,100-250,,"Yes, three or more",2,2,3,,4,3,,3.333333333,4,3,5,3,3.75 ,,,,,,,,,,,,,,,,,,4,4,3,3,2,2,3,4,4,3,5,2,2,3.333333333,,,,4.00 ,4.00 ,,,,,,
11,Female,No,Heterosexual,Jewish,Asian,No,No,Parents,Attended some college or earned a 2-year degree,2,11-24,,"Yes, three or more",2,2,4,,1,5,,3.333333333,4,3,5,4,4.00 ,5,5,2,2,2,1,2,1,2.14 ,5,0,0,1.666666667,3,2,5,3.333333333,3,3,2,4,1,4,2.833333333,3,3,2,4,1,1,2.333333333,2,3,4,3.50 ,3.13 ,5,5,5,5,,5
